timestep, id, lat, long, angle, speed, RSSI, throughput
87.00, 5, 37.971867, 23.758879, 76.880846, 5.728514, 69.71057934051643, 34.855289670258216
87.00, 6, 37.968167, 23.774492, 152.898572, 4.620600, 61.95871796945461, 30.979358984727305
88.00, 1, 37.967560, 23.768902, 274.377051, 5.893475, 92.39122300099373, 46.19561150049687
88.00, 2, 37.970127, 23.763104, 120.498704, 5.216981, 90.85632509232433, 45.42816254616216
88.00, 3, 37.971047, 23.761262, 119.495421, 5.617784, 72.4295137560853, 36.21475687804265
88.00, 4, 37.967234, 23.774181, 259.710096, 6.019630, 98.11772649886905, 49.05886324943452
88.00, 5, 37.971866, 23.758943, 90.330887, 5.728514, 61.14401647256906, 30.572008236284525
88.00, 6, 37.968129, 23.774515, 152.898572, 4.620600, 55.873784421389296, 27.936892210694648
89.00, 1, 37.967566, 23.768836, 274.377051, 5.893475, 73.66026838130674, 36.83013419065337
89.00, 2, 37.970102, 23.763154, 120.498704, 5.216981, 21.792215568568764, 10.896107784284382
89.00, 3, 37.971020, 23.761316, 119.495421, 5.617784, 64.08293463674046, 32.04146731837023
89.00, 4, 37.967227, 23.774113, 260.844296, 6.019630, 56.57479951715117, 28.28739975857559
89.00, 5, 37.971856, 23.759008, 98.560890, 5.728514, 68.34035912257193, 34.17017956128596
89.00, 6, 37.968092, 23.774537, 152.898572, 4.620600, 93.32771788211927, 46.66385894105964
90.00, 1, 37.967572, 23.768769, 274.377051, 5.893475, 81.58449048216701, 40.792245241083506
90.00, 2, 37.970075, 23.763203, 123.114121, 5.216981, 66.62612091132944, 33.31306045566472
90.00, 3, 37.970994, 23.761371, 119.867732, 5.617784, 43.80850151032811, 21.904250755164053
90.00, 4, 37.967220, 23.774045, 260.844296, 6.019630, 71.48292374736869, 35.741461873684344
90.00, 5, 37.971843, 23.759070, 104.063871, 5.728514, 27.942331541551077, 13.97116577077554
90.00, 6, 37.968054, 23.774560, 152.898572, 4.620600, 30.94661677010948, 15.47330838505474
90.00, 7, 37.971738, 23.758638, 38.291786, 0.000000, 46.32130268647539, 23.160651343237696
91.00, 1, 37.967577, 23.768702, 274.377051, 5.893475, 70.51794042875036, 35.25897021437518
91.00, 2, 37.970047, 23.763251, 124.882005, 5.216981, 33.044827399557235, 16.522413699778618
91.00, 3, 37.970967, 23.761425, 120.142714, 5.617784, 79.77208729171457, 39.886043645857285
91.00, 4, 37.967213, 23.773977, 260.844296, 6.019630, 45.359242346840475, 22.679621173420237
91.00, 5, 37.971827, 23.759132, 106.824175, 5.728514, 70.33360470806065, 35.166802354030324
91.00, 6, 37.968017, 23.774582, 152.898572, 4.620600, 78.29792818115787, 39.148964090578936
91.00, 7, 37.971745, 23.758645, 38.291786, 1.000000, 91.08795658854652, 45.54397829427326
92.00, 1, 37.967583, 23.768636, 274.377051, 5.893475, 42.53575913001741, 21.267879565008705
92.00, 2, 37.970019, 23.763299, 124.882005, 5.216981, 40.91664503494499, 20.458322517472496
92.00, 3, 37.970941, 23.761480, 120.142714, 5.617784, 49.824576379979845, 24.912288189989923
92.00, 4, 37.967206, 23.773910, 260.844296, 6.019630, 69.18097854098053, 34.59048927049027
92.00, 5, 37.971810, 23.759194, 106.824175, 5.728514, 92.8533405148228, 46.4266702574114
92.00, 6, 37.967979, 23.774605, 152.898572, 4.620600, 51.3323929487724, 25.6661964743862
92.00, 7, 37.971759, 23.758660, 38.291786, 2.000000, 60.938289122775, 30.469144561387495
93.00, 1, 37.967588, 23.768569, 274.377051, 5.893475, 30.816709639262033, 15.408354819631018
93.00, 2, 37.969991, 23.763346, 124.882005, 5.216981, 91.10420788973698, 45.55210394486849
