17016 -- turns into : 6 - strength solo/opposite : 1 , strenght mutual/opposite : 1
17019 -- turns into : 9 - strength solo : 1 , strenght solo/opposite : 1
17022 -- turns into : 3 - strength solo/opposite : 0 , strenght mutual/opposite : 0
17025 -- turns into : 6 - strength solo/opposite : 0 , strenght mutual/opposite : 0
17028 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0
17031 -- turns into : 3 - strength solo/opposite : 1 , strenght mutual/opposite : 1
17034 -- turns into : 6 - strength solo/opposite : 0 , strenght mutual/opposite : 1
17037 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
17040 -- turns into : 3 - strength solo/opposite : 0 , strenght mutual/opposite : 0
17043 -- turns into : 6 - strength solo/opposite : 0 , strenght mutual/opposite : 1
17046 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
17049 -- turns into : 3 - strength solo/opposite : 0.0 , strenght mutual/opposite : 0.0
17052 -- turns into : 6 - strength solo/opposite : 0 , strenght mutual/opposite : 0
17055 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0
17058 -- turns into : 3 - strength solo/opposite : 0 , strenght mutual/opposite : 0
17061 -- turns into : 6 - strength solo/opposite : 1 , strenght mutual/opposite : 1
17064 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
17067 -- turns into : 3 - strength solo/opposite : 0 , strenght mutual/opposite : 1
17070 -- turns into : 6 - strength solo/opposite : 0 , strenght mutual/opposite : 0
17073 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
17076 -- turns into : 3 - strength solo/opposite : 0 , strenght mutual/opposite : 1
17079 -- turns into : 6 - strength solo/opposite : 0.0 , strenght mutual/opposite : 0.0
17082 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0
17085 -- turns into : 3 - strength solo/opposite : 0 , strenght mutual/opposite : 0
17088 -- turns into : 6 - strength solo/opposite : 0 , strenght mutual/opposite : 0
17091 -- turns into : 9 - strength solo : 1 , strenght solo/opposite : 1
17094 -- turns into : 3 - strength solo/opposite : 0.0 , strenght mutual/opposite : 0.0
17097 -- turns into : 6 - strength solo/opposite : 0.0 , strenght mutual/opposite : 0.0
17100 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0
